Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,persname type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
Parthici,"cape0001-5, jeru0554-5, tsha0002-5",parthicus,ADJ,w-parthici,None,,,,,,,,,,,,,y,Parthian,,,,,,,,,,,,,,,,,,,
Parthicus,unkn0131-9,Parthicus,ADJ,w-parthicus,None,,,,,,,,,,,,,y,Parthian,,,,,,,,,,,,,,,,,,,
passuum,ashk0003a-26,passus,NOUN,w-passuum,Case=genitive|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pater,"achz0001-14, unkn0130-20, unkn0131-22",pater,NOUN,w-pater,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,father,,,,,,,,,,,,,,,,,
patri,"caes0027-7, jeru0497-9, jeru0554-20, maay0001-26, tsha0002-22",pater,NOUN,w-patri,Case=dative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,father,,,,,,,,,,,,,,,,,
patriae,"achz0001-15, caes0027-8, jeru0497-10, jeru0554-21, maay0001-27, tsha0002-23, unkn0130-21, unkn0131-23",patria,NOUN,w-patriae,Case=nominative|Gender=feminine|Number=plural,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
patrono,"caes0010-9, caes0011-8, caes0146-29",patronus,NOUN,w-patrono,Case=ablative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,patron,,,,,,,,,,,,,,,,,
pecunia,"caes0003-15, caes0010-14",pecunia,NOUN,w-pecunia,Case=ablative|Gender=feminine|Number=singular,,,,,,,,y,government,pecunia,,,,,,,,,,,,,,,,,,,,,,,
pedes,"caes0062-3, caes0062-7",pes,NOUN,w-pedes,Case=accusative|Gender=masculine|Number=plural,,,,,,,,y,military,pedes,y,rank,,,,,,,,,,,,,,,,,,,,,
pedites,unkn0130-27,pedites,NOUN,w-pedites,None,,,,,,,,y,military,pedes,y,rank,,,,,,,,,,,,,,,,,,,,,
per,"caes0051-7, caes0052-7, caes0054-6, yotv0001-18",per,ADP,w-per,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perfectissimo,caes0010-4,perfectus,ADJ,w-perfectissimo,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perfectissimus,"caes0006-12, caes0009-19, caes0014-17, caes0017-17",perfectus,ADJ,w-perfectissimus,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perpetuae,yotv0001-1,perpetua,PROPN,w-perpetuae,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perpetuo,maay0001-16,perpetuus,ADJ,w-perpetuo,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
