Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,persname type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
Felici,"ashk0003a-16, bshe0006-11, caes0006-7, caes0009-13, caes0014-10, caes0017-10, caes0106-8, caes0107-12",felix,PROPN,w-felici,Case=ablative|Gender=masculine|Number=singular,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felici,"ashk0003a-16, bshe0006-11, caes0006-7, caes0009-13, caes0014-10, caes0017-10, caes0106-8, caes0107-12",felix,ADJ,w-felici,Case=ablative|Gender=masculine|Number=singular,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felicia,caes0683-5,felix,ADJ,w-felicia,Case=nominative|Gender=neuter|Number=plural,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felicibus,ashk0003b-13,felix,ADJ,w-felicibus,Case=ablative|Number=plural,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
felicissimo,caes0009-1,felicissimus,PROPN,w-felicissimo,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feliciter,bshe0006-26,feliciter,NOUN,w-feliciter,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felix,unkn0131-7,felix,ADJ,w-felix,Case=accusative|Gender=neuter|Number=singular,,,y,m,other,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermilianus,bshe0006-16,Fermilianus,PROPN,w-fermilianus,None,,,y,m,other,Fermilianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ferrata,megi0002-23,ferrata,PROPN,w-ferrata,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
ferratae,"caes0146-8, gado0001-4",ferrata,PROPN,w-ferratae,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
ferratae,"caes0049-9, caes0054-10",ferratae,NOUN,w-ferratae,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
fidelis,caes0146-9,fidelis,ADJ,w-fidelis,Case=accusative|Gender=masculine|Number=plural,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
fili,bani0003-9,filius,NOUN,w-fili,Case=nominative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
filia,caes0032-9,filia,NOUN,w-filia,Case=ablative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,y,daughter,,,,,,,,,,,,,,,,,
filio,"ashk0003a-7, caes0106-18, caes0107-6, jeru0554-6, kara0001-18, tsha0002-6",filius,NOUN,w-filio,Case=ablative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
filius,"achz0001-5, caes0148-14, cape0001-6, emma0001-3, jeru0494-10, nabl0001-6, unkn0130-5",filius,NOUN,w-filius,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
Flavia,caes0024-1,Flauia,PROPN,w-flavia,None,,,y,f,other,Flavia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaviae,"caes0003-8, caes0044-3, nabl0001-13",Flavia,PROPN,w-flaviae,None,,,y,f,other,Flavia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavianus,caes0031-8,flauianus,PROPN,w-flavianus,None,,,y,m,other,Flavianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavii,"caes0030-1, caes0146-3",flauius,PROPN,w-flavii,None,,,y,m,other,Flavius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavio,"caes0002-2, caes0010-17, caes0017-6",flauius,PROPN,w-flavio,None,,,y,m,other,Flavius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavium,caes0003-2,flauius,PROPN,w-flavium,None,,,y,m,other,Flavius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavius,caes0018-11,flauius,PROPN,w-flavius,None,,,y,m,other,Flavius,,,,,,,,,,,,,,,,,,,,,,,,,,,
fortis,caes0047-10,fortis,NOUN,w-fortis,Case=accusative|Gender=masculine|Number=plural,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
fortissimo,bshe0006-1,fortus,ADJ,w-fortissimo,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fortissimo,"caes0014-1, caes0017-1",fortis,ADJ,w-fortissimo,Case=ablative|Gender=masculine|Degree=superlative|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francico,maay0001-20,Francico,PROPN,w-francico,None,,,,,,,,,,,,,y,French,,,,,,,,,,,,,,,,,,,
fratri,nabl0001-22,frater,NOUN,w-fratri,Case=dative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
fratribus,ashk0003b-3,frater,NOUN,w-fratribus,Case=ablative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
fretensis,"caes0018-15, caes0031-12, caes0045-8, caes0048-4, caes0050-3, caes0051-11, caes0052-11, caes0053-8, caes0146-16, caes0148-9, caes0349-3, caes0529-3, jeru0491-16, jeru0535-3, jeru0536-3, jeru0554-24, masa0937-3",fretensis,ADJ,w-fretensis,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
fretensis,"caes0018-15, caes0031-12, caes0045-8, caes0048-4, caes0050-3, caes0051-11, caes0052-11, caes0053-8, caes0146-16, caes0148-9, caes0349-3, caes0529-3, jeru0491-16, jeru0535-3, jeru0536-3, jeru0554-24, masa0937-3",fretensis,PROPN,w-fretensis,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
fretensis,"caes0018-15, caes0031-12, caes0045-8, caes0048-4, caes0050-3, caes0051-11, caes0052-11, caes0053-8, caes0146-16, caes0148-9, caes0349-3, caes0529-3, jeru0491-16, jeru0535-3, jeru0536-3, jeru0554-24, masa0937-3",fretensis,NOUN,w-fretensis,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
frumentariorum,caes0683-3,frumentarior,NOUN,w-frumentariorum,None,,,,,,,,y,military,frumentarior,y,rank,,,,,,,,,,,,,,,,,,,,,
fulminatae,caes0119-7,fulminata,PROPN,w-fulminatae,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
furio,caes0007-2,furius,PROPN,w-furio,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaetulorum,unkn0130-41,gaetuli,PROPN,w-gaetulorum,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaio,"ashk0003b-4, caes0106-12",gaius,PROPN,w-gaio,None,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galerio,"bshe0006-7, caes0014-6",galerius,PROPN,w-galerio,None,,,y,m,other,Galerius,,,,,,,,,,,,,,,,,,,,,,,,,,,
garum,masa0826-1,gae,PROPN,w-garum,None,,,,,,,,,,,,,,,,,,,,,,,,,,,y,food,,,,,
Gemonnea,bshe0156-1,Gemonneus,PROPN,w-gemonnea,None,,,,,,,,,,,,,,,,,y,Gemona,https://pleiades.stoa.org/places/187394,,,,,,,,,,y,genius,,,
Genio,caes0683-2,genius,PROPN,w-genio,Case=ablative|Gender=masculine|Number=singular,y,genius,,,,,,,,,,,,,,,,,,,,,,,,,,,y,genius,,,
Geniu,jeru0495-5,Geniu,PROPN,w-geniu,None,y,genius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genus,maay0001-29,genus,NOUN,w-genus,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germanicus,unkn0130-8,germanicus,PROPN,w-germanicus,None,,,y,m,other,Germanicus,,,,,,,y,German,,,,,,,,,,,,,,,,,,,
Gordiano,caes0107-5,gordianus,PROPN,w-gordiano,None,,,y,m,other,Gordian,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,masa0941-27,h,X,w-h,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadriano,"caes0045-3, caes0047-4, caes0049-4, caes0053-3, jeru0497-5, jeru0554-11, tsha0002-11",hadrianus,PROPN,w-hadriano,None,,,y,m,other,Hadrianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadrianus,"caes0051-4, caes0052-4, caes0054-4, cape0001-11",Hadrianus,PROPN,w-hadrianus,None,,,y,m,other,Hadrianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
haeres,nabl0002-10,haereo,VERB,w-haeres,Mood=indicative|Number=singular|Person=2nd|Tense=present|Voice=active,,,,,,,,,,,,,,,y,heir,,,,,,,,,,,,,,,,,
heredes,caes0146-28,heres,NOUN,w-heredes,Case=accusative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,y,heir,,,,,,,,,,,,,,,,,
heres,emma0001-21,ho,VERB,w-heres,None,,,,,,,,,,,,,,,y,heir,,,,,,,,,,,,,,,,,
heres,caes0044-11,heres,NOUN,w-heres,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,heir,,,,,,,,,,,,,,,,,
Herinnius,masa0829-2,Herinnius,PROPN,w-herinnius,None,,,y,m,other,Herennius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hestia,haif0020a-3,Hestia,PROPN,w-hestia,None,y,Hestia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hic,emma0001-18,hic,DET,w-hic,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilarus,caes0146-20,Hilarus,PROPN,w-hilarus,Case=nominative|Gender=masculine|Number=singular,,,y,m,other,Hilarius,,,,,,,,,,,,,,,,,,,,,,,,,,,
